company;ano;mes;valorNota;valorTotalFaturamento
45ac39e1a39ddd2bed9be802bc751e79d126ca2d5603e4e127853b9935630450;2021;3;34440.9375;103322.82
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;3;12789.315;905785.9424999999
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;3;13400.8725;905785.9424999999
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;3;2660.0775;905785.9424999999
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;3;30160.1925;905785.9424999999
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;2021;3;2133.6525;91129.695
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;2021;3;76145.91;91129.695
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;2021;3;12850.1325;91129.695
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;3;14647.53;905785.9424999999
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;2021;3;155491.845;8822606.205
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;2021;3;8311718.235;8822606.205
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;2021;3;355396.125;8822606.205
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;8;39766.455;974182.605
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;8;3235.8675;974182.605
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;2021;8;1208.595;65875.32
3a80a0add00aa05156487dc5bceb0f1647bb80425a4f03bf77193f110a98766f;2021;8;45655.41;69729.48000000001
86bb5ba0b4dcb6cdb3fa4735d0768c6876cdb5750fda5fefbdccf9ed9e91119f;2021;8;10977.3075;36886.402500000004
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;2021;8;46991.2725;65875.32
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;2021;8;198492.105;8114116.529999999
7ae353f62c16f0ef9ad0b65bb6aa031fa27fbbc32d317a4adc137fbc691cf87e;2021;8;1206904.515;1206904.5150000001
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;8;18220.47;974182.605
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;2021;8;11593.1325;65875.32
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;2021;8;6082.32;65875.32
43261d5727c06339359c5f0aace80318821cac1141a039987b63b6a1a64bdd36;2021;8;860392.77;1601743.74
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;2021;8;2069287.2;8114116.529999999
43261d5727c06339359c5f0aace80318821cac1141a039987b63b6a1a64bdd36;2021;8;741350.97;1601743.74
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;191470.4025;2617432.4025
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;8;656440.71;974182.605
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;132818.6925;2617432.4025
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2021;8;38560.3875;974182.605
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;546022.6575;2617432.4025
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;20235.675;2617432.4025
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;8271.345;2617432.4025
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;11138.01;2617432.4025
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;11197.14;2617432.4025
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;14305.3875;2617432.4025
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;3443.9475;2617432.4025
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2021;8;191544.84;2617432.4025
3d39e570b623e785da6a4c1cbf6afcf8bedb68e4bbf1167b8b5a90a6192c7b57;2021;8;62969.43;188908.2825
3a80a0add00aa05156487dc5bceb0f1647bb80425a4f03bf77193f110a98766f;2021;8;24074.07;69729.48000000001
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;2021;8;15704.205;125393.61750000001
