company;ano;mes;valorNota;valorTotalFaturamento
7ae353f62c16f0ef9ad0b65bb6aa031fa27fbbc32d317a4adc137fbc691cf87e;2022;3;1288233.645;1288233.645
b18b13e5bb1b1656d2dc6766e07ce8d76bc12c17a50f3159f2397d3f4ae04de5;2022;3;568822.23;568822.23
1691f36c91ffea1129900da7ea18abbe8b97204f6084723aac3657d9a735d658;2022;3;4699.965;4699.965
e97c19287cf4f1a566446a72325dc8d51907d537cf1961f3ace747c82da38ade;2022;3;356270.1225;356270.1225
5db1cd43f2bfbb2b48f8e0a19c6a0155ba2ab11d61aee1f8e248224b084bd8a8;2022;3;21186.045;21186.045
2dc699dff82c5e83df79c190ce2df315dad356af45994d7e77d973312a096155;2022;3;388532.85;388532.85
ac78268421dc32d7cee87d44cd9da7dc1c578b76fe86f8af62da700c6bd60603;2022;3;147067.7625;147067.7625
a467d2cb1c184c0a871aeef33455a61daa855233fd4a2b102a6b5acbebae4d5a;2022;3;66499.2525;66499.2525
2c92c75475931af9f18d26afafc7122da433432ffa334531cb88f40f3dd875da;2022;3;320122.77;320122.77
f9cfe62241b0a57a1a97429fd7b5239a51a504eee98af5cb145aeb6fabe446d9;2022;3;139361.685;139361.685
0fa33f5fe1e69dbbf1f5ae7d4271c23d4cebd76b66da282db168cde82a0a68a7;2020;10;65772.6;65772.6
2c92c75475931af9f18d26afafc7122da433432ffa334531cb88f40f3dd875da;2021;5;246960.1575;246960.1575
5db1cd43f2bfbb2b48f8e0a19c6a0155ba2ab11d61aee1f8e248224b084bd8a8;2021;5;18288.96;18288.96
bef150d5cfef95596f7243d9f1c66a205bf5eeca511461a76b83a2c242069235;2022;3;163832.52;163832.52
d4600a68a18eb94eb7becb7598a1d3f6f36eada58881fc6eb8249ad82186f047;2022;3;144215.8575;144215.8575
37956109bf722b8417155c01783625e441550c09e0fc1d91dd6bf983453ace35;2022;3;210408.6825;210408.6825
a6f19f04c004ac29a20c904e1306f5fa7829c683b608c11d749c90ed9f236419;2022;3;1086568.965;1086568.965
d0ac63607a1b3610d3b176cc0fcc83bbcf81c5cec38245c6ba78997c66b6754d;2022;3;110130.75;110130.75
bea410d04f41874bdd9a20431b1ac7f0596f1521ea27ae828f75fe13d157b417;2022;3;164853.2325;164853.2325
4329f65347af6d9e9ea48bfa380843a3581ffd9a42c65270101284e8cabb1b15;2022;3;14502.225;14502.225
38792e8e0e74216a6ba4dba81df2b8394aceb63ed7d43d8c17f5388b500d6923;2022;3;335186.13;335186.13
cbcc61b6ae9e0146d085c552b1ad80e82716279ce0b975d55fa883667d0ce7a8;2022;3;319634.58;319634.58
adff7f33d1a24b2bf8eb59749dbc1281ab9277476f508a8edfc360599f83b9e5;2022;3;11522.9475;11522.9475
22d9d5cffc8a719720bdb1842a4a625e22539fb14e09b719c49bda55a9c4bbd7;2022;3;70632.66;70632.66
6e63340d51a92f6f6688f3ffec18a3df14f0976232b975ece415669674b2baaa;2022;3;12054.2025;12054.2025
61f35ffc7f1e1fe7ab15b576a008da59bcf82bb0c2940ab9ccf8f5b18d29873d;2022;3;80127.1725;80127.1725
d9579a321b110018b499be4f80343a5d34cb8a9e89c0f1b897ca63adeaf7f888;2022;3;6387.7125;6387.7125
c9c4364be2a27be717cebf3ade3d3137e9fe978b25fe0d3da5c13f21e365b0a0;2022;3;108710.0925;108710.0925
372e531e017d0fbde3baf3e367f1ecb1e63effe9d32a24913fd39ac2fd0adfd7;2022;3;42531.6975;42531.6975
732b9ab1a0914c5cc3e1c105d33328a31c36242be6af1ee0ce099f5f75b92ca7;2022;3;173053.5675;173053.5675
85e739750a2ded64af5cff240ad9cfed7be57d190027e9b942ed5fb5dc1d4f0a;2022;3;51748.1025;51748.1025
c36ca8cef2aaa896eda0383a1a1af7df8b084b24e56c1e8c5c386d356ff3689d;2022;3;49955.025;49955.025
6a46153f1a68a656a96d970de7935258802f22f837a767752c22a7d8d023f2d8;2022;3;10481.0625;10481.0625
8945ccff89f9a7e70b6cf653b0245b9f1576dd6712dda62651bb4d87e35ed6bc;2022;3;100850.8275;100850.8275
43df7b0fa6398254398f33e6a90df697687ade401dbd8329d879f07469268a98;2022;3;22827.93;22827.93
03a56b531eaac4c1676868c4b41fec509a6533e424eeab0da581ec554a1f6c81;2022;3;121124.0325;121124.0325
01168cab89ceaf5ecd0e6b9aca711a04e259076b6cf1c3655063166a7f27b6a0;2022;3;86924.805;86924.805
cb8798d47958a9b3b559044ea3a321c464895ab9656e802a542bd93eb172c794;2022;3;5311.7925;5311.7925
7afa0f8b13d416bad28fbf008ef89ceef78bb68bd19bca7814c400c0d3698848;2022;3;453895.98;453895.98
e19f4ac89e3b7361d1d5a8b1826c41c283adb926818cfeeed3e9138ce72531cd;2022;3;114672.9225;114672.9225
261e7698ac0ed1bcc42b495c14348db83fdb698e924d16dc92273910479fb282;2022;3;358009.6275;358009.6275
68029c24fe42facb13764924eb9eb2788d997ff1c916640d65f94f4536aa2ea4;2022;3;76483.4175;76483.4175
587aaac9eb899ca0f9f757f1f1250096afb88fa96934fc7e2be14790f2a3a1c8;2022;3;330514.845;330514.845
233d1fd377d0f2d62aa0cc0a9901149077bc4083d4e41c7b2f95b42a662db321;2022;3;25594.77;25594.77
7b7ac860e214a4635068ef1295f6527abf15adbd9e1dcfd607e3b2c5b9d10d09;2022;3;46794.3975;46794.3975
af9972d08f663015ee7bf3de49d059b620cf934abb9702ea047c6cd6c81a7c34;2022;3;6534.135;6534.135
c738b8801ff6ef293c2e53f07c90d9b5e856c928b90fa42cbd92daed72471946;2022;3;336958.7475;336958.7475
719be77d544c78248ed775aa5d8bb1151a6183ff35015d5a123deb4e849dc5c7;2022;3;25301.49;25301.49
2418473f0123dfe994ad32065830f2f2b47806638d03dc96ee0ed4b0008bb9ed;2022;3;160209.0;160209.0
0f074171fb28ccc58f8761a2dce884108d92c1db5023767bae698f2b307a1791;2021;8;227.535;227.535
68029c24fe42facb13764924eb9eb2788d997ff1c916640d65f94f4536aa2ea4;2021;8;81828.735;81828.735
719be77d544c78248ed775aa5d8bb1151a6183ff35015d5a123deb4e849dc5c7;2021;8;26712.51;26712.51
e22636de493f4bab61f6d1d3aa1ca9a4ec546165c7b31a54235bb83bd0ef29c6;2021;8;63957.7275;63957.7275
61f35ffc7f1e1fe7ab15b576a008da59bcf82bb0c2940ab9ccf8f5b18d29873d;2021;8;83272.7625;83272.7625
6a46153f1a68a656a96d970de7935258802f22f837a767752c22a7d8d023f2d8;2021;8;10266.015;10266.015
1fe80c8dfe8051d2cbba66946d8d3f38fc70b6c7ac44211363f67f96ee983112;2021;8;15601.2975;15601.2975
372e531e017d0fbde3baf3e367f1ecb1e63effe9d32a24913fd39ac2fd0adfd7;2021;8;44009.16;44009.16
689c4ed068fcc90bfaca0797b92d5e6acaa9c6861f721debe5531fc224b5d974;2021;2;62686.77;62686.77
1691f36c91ffea1129900da7ea18abbe8b97204f6084723aac3657d9a735d658;2021;3;3721.9575;3721.9575
dbc0289b7764004ee9fecfb8101ca963bb227f06b45ee5d493b41da2eab885b4;2021;3;22433.34;22433.34
1fe80c8dfe8051d2cbba66946d8d3f38fc70b6c7ac44211363f67f96ee983112;2021;3;12775.8375;12775.8375
6e75e41386adae166aa3a3c374e883e355591a2f1830438569b3610c70f7a968;2021;3;6998.625;6998.625
7ae353f62c16f0ef9ad0b65bb6aa031fa27fbbc32d317a4adc137fbc691cf87e;2021;3;1541981.2425;1541981.2425
a200243480bba58b5829832c266f8d9657994468d5a9bf4513a43789b4cd3422;2021;3;935611.8675;935611.8674999999
654e16633394f9d98a60151a6221cb49282d5b178a338c816bcf7ce3ed2e645d;2021;3;61406.28;61406.28
963925eedc550388fd69dbb2e1809113ae9ae3325ea8ddb9c8ef70b9a62267e9;2021;3;104280.21;104280.21
6e54ba0504e870c69594c2889f3f76c6f81520fed24c433ca862455ececa4750;2021;3;12349.0725;12349.0725
ac78268421dc32d7cee87d44cd9da7dc1c578b76fe86f8af62da700c6bd60603;2021;3;132256.77;132256.77
da234e28d18b9cff96e5e5330bdde529bcbe2c4a131dc9efbd6d062a9bba5fa7;2021;3;342070.065;342070.065
bef150d5cfef95596f7243d9f1c66a205bf5eeca511461a76b83a2c242069235;2021;3;142567.9275;142567.9275
8945ccff89f9a7e70b6cf653b0245b9f1576dd6712dda62651bb4d87e35ed6bc;2021;3;86748.63;86748.63
a255cabc2e42f0bce1cc1636bcdc938064a4b347194cdbb17004586d1124f3bd;2021;3;32640.12;32640.12
392ef1fb920cb300db67553e381e82657e6ae401ebeb987f1e19ea1ec1f6afe1;2021;3;69807.6225;69807.6225
2dc699dff82c5e83df79c190ce2df315dad356af45994d7e77d973312a096155;2021;3;257794.02;257794.02
732b9ab1a0914c5cc3e1c105d33328a31c36242be6af1ee0ce099f5f75b92ca7;2021;3;146307.435;146307.435
c9c4364be2a27be717cebf3ade3d3137e9fe978b25fe0d3da5c13f21e365b0a0;2021;3;85262.835;85262.835
af4ed271e23ce820f6cd9b9a0e13134abe96dfab6443359ac34ba3623ac792d4;2021;3;9715.335;9715.335
68029c24fe42facb13764924eb9eb2788d997ff1c916640d65f94f4536aa2ea4;2021;3;65156.7075;65156.7075
ae610f52f0590cbb6677b030fe70405ee7aa96e97d61d79e32122fa90d797ab1;2021;3;564657.63;564657.63
01168cab89ceaf5ecd0e6b9aca711a04e259076b6cf1c3655063166a7f27b6a0;2021;3;66379.6575;66379.6575
d4600a68a18eb94eb7becb7598a1d3f6f36eada58881fc6eb8249ad82186f047;2021;3;120561.975;120561.975
9982344b22000dcfc97cdc33c3c0039d286be0a47ffbbac10a49778b73a0d071;2021;3;56583.495;56583.495
a3a8e7c4aae18f94595e1063a890f1067373ec9588d892ea1948fb943e1ea041;2021;3;310092.6375;310092.6375
7a9d80e4e2dfd3b504299cfc251823bab434efd6a81ff0d67b7fb805a9c71aff;2021;3;2630225.355;2630225.355
